SID	Run	Trial	Stage	Expression	Decision	Time
101	2	26	3	0	None	1414017747.14
101	2	26	3	0	None	1414017747.17
101	2	26	3	0	None	1414017747.2
101	2	26	3	0	None	1414017747.23
101	2	26	3	0	None	1414017747.27
101	2	26	3	0	None	1414017747.3
101	2	26	3	0	None	1414017747.33
101	2	26	3	0	None	1414017747.36
101	2	26	3	0	None	1414017747.4
101	2	26	3	0	None	1414017747.44
101	2	26	3	0	None	1414017747.47
101	2	26	3	0	None	1414017747.5
101	2	26	3	0	None	1414017747.53
101	2	26	3	0	None	1414017747.57
101	2	26	3	0	Left	1414017747.6
101	2	26	3	0	Left	1414017747.63
101	2	26	3	0	Left	1414017747.66
101	2	26	3	0	Left	1414017747.7
101	2	26	3	0	Left	1414017747.73
101	2	26	3	0	Left	1414017747.76
101	2	26	3	0	Left	1414017747.8
101	2	26	3	0	Left	1414017747.83
101	2	26	3	0	Left	1414017747.86
101	2	26	3	0	Left	1414017747.89
101	2	26	3	0	Left	1414017747.92
101	2	26	3	0	Left	1414017747.96
101	2	26	3	0	Left	1414017747.99
101	2	26	3	0	Left	1414017748.03
101	2	26	3	0	Left	1414017748.05
101	2	26	3	0	Left	1414017748.09
101	2	26	3	0	Left	1414017748.13
101	2	26	3	0	Left	1414017748.16
101	2	26	3	0	Left	1414017748.19
101	2	26	3	0	Left	1414017748.22
101	2	26	3	0	Left	1414017748.25
101	2	26	3	0	Left	1414017748.29
101	2	26	3	0	Left	1414017748.32
101	2	26	3	0	Left	1414017748.36
101	2	26	3	0	Left	1414017748.39
101	2	26	3	0	Left	1414017748.42
101	2	26	3	0	Left	1414017748.46
101	2	26	3	0	Left	1414017748.49
101	2	26	3	0	Left	1414017748.52
101	2	26	3	0	Left	1414017748.55
101	2	26	3	0	Left	1414017748.59
101	2	26	3	0	Left	1414017748.62
101	2	26	3	0	Left	1414017748.65
101	2	26	3	0	Left	1414017748.69
101	2	26	3	0	Left	1414017748.72
101	2	26	3	0	Left	1414017748.76
101	2	26	3	0	Left	1414017748.79
101	2	26	3	0	Left	1414017748.81
101	2	27	1	0	None	1414017748.85
101	2	27	1	0	None	1414017748.88
101	2	27	1	0	None	1414017748.92
101	2	27	1	0	None	1414017748.95
101	2	27	1	0	None	1414017748.98
101	2	27	1	0	None	1414017749.02
101	2	27	1	0	None	1414017749.05
101	2	27	1	0	None	1414017749.09
101	2	27	1	0	None	1414017749.11
101	2	27	1	0	None	1414017749.14
101	2	27	1	0	None	1414017749.18
101	2	27	1	0	None	1414017749.21
101	2	27	1	0	None	1414017749.25
101	2	27	1	0	None	1414017749.28
101	2	27	1	0	None	1414017749.32
101	2	27	1	0	None	1414017749.35
101	2	27	1	0	None	1414017749.38
