Frame	Acquired	Time
449	True	1414017338.65
450	True	1414017338.71
451	True	1414017338.77
452	True	1414017338.83
453	True	1414017338.89
454	True	1414017338.95
455	True	1414017339.0
456	True	1414017339.06
457	True	1414017339.12
458	True	1414017339.18
459	True	1414017339.24
460	True	1414017339.3
461	True	1414017339.36
462	True	1414017339.42
463	True	1414017339.48
464	True	1414017339.54
465	True	1414017339.6
466	True	1414017339.66
467	True	1414017339.72
468	True	1414017339.78
469	True	1414017339.84
470	True	1414017339.9
471	True	1414017339.95
472	True	1414017340.01
473	True	1414017340.07
474	True	1414017340.13
475	True	1414017340.19
476	True	1414017340.25
477	True	1414017340.31
478	True	1414017340.37
479	True	1414017340.43
480	True	1414017340.49
481	True	1414017340.55
482	True	1414017340.6
483	True	1414017340.66
484	True	1414017340.72
485	True	1414017340.78
486	True	1414017340.83
487	True	1414017340.89
488	True	1414017340.95
489	True	1414017341.01
490	True	1414017341.07
491	True	1414017341.13
492	True	1414017341.19
493	True	1414017341.25
494	True	1414017341.31
495	True	1414017341.37
496	True	1414017341.43
497	True	1414017341.49
498	True	1414017341.55
499	True	1414017341.61
500	True	1414017341.67
501	True	1414017341.73
502	True	1414017341.79
503	True	1414017341.85
504	True	1414017341.91
505	True	1414017341.97
506	True	1414017342.03
507	True	1414017342.09
508	True	1414017342.15
509	True	1414017342.21
510	True	1414017342.26
511	True	1414017342.32
512	True	1414017342.38
513	True	1414017342.45
514	True	1414017342.51
515	True	1414017342.57
516	True	1414017342.63
517	True	1414017342.69
518	True	1414017342.75
519	True	1414017342.81
520	True	1414017342.88
521	True	1414017342.94
522	True	1414017343.0
523	True	1414017343.06
524	True	1414017343.12
525	True	1414017343.18
526	True	1414017343.24
527	True	1414017343.3
528	True	1414017343.37
529	True	1414017343.43
530	True	1414017343.49
531	True	1414017343.55
532	True	1414017343.61
533	True	1414017343.68
534	True	1414017343.74
535	True	1414017343.8
536	True	1414017343.86
537	True	1414017343.92
538	True	1414017343.98
539	True	1414017344.04
540	True	1414017344.1
541	True	1414017344.16
542	True	1414017344.22
543	True	1414017344.28
544	True	1414017344.34
545	True	1414017344.4
546	True	1414017344.47
547	True	1414017344.53
548	True	1414017344.59
549	True	1414017344.65
550	True	1414017344.72
551	True	1414017344.78
552	True	1414017344.83
553	True	1414017344.89
554	True	1414017344.95
555	True	1414017345.01
556	True	1414017345.07
557	True	1414017345.13
558	True	1414017345.19
559	True	1414017345.25
560	True	1414017345.31
561	True	1414017345.37
562	True	1414017345.43
563	True	1414017345.49
564	True	1414017345.55
565	True	1414017345.61
566	True	1414017345.67
567	True	1414017345.72
568	True	1414017345.78
569	True	1414017345.84
570	True	1414017345.9
571	True	1414017345.96
572	True	1414017346.02
573	True	1414017346.08
574	True	1414017346.14
575	True	1414017346.2
576	True	1414017346.26
577	True	1414017346.32
578	True	1414017346.38
579	True	1414017346.44
580	True	1414017346.5
581	True	1414017346.56
582	True	1414017346.62
583	True	1414017346.68
584	True	1414017346.74
585	True	1414017346.8
586	True	1414017346.86
587	True	1414017346.92
588	True	1414017346.98
589	True	1414017347.05
590	True	1414017347.11
591	True	1414017347.17
592	True	1414017347.23
593	True	1414017347.29
594	True	1414017347.35
595	True	1414017347.41
596	True	1414017347.46
597	True	1414017347.53
598	True	1414017347.59
599	True	1414017347.65
600	True	1414017347.71
601	True	1414017347.77
602	True	1414017347.83
603	True	1414017347.89
604	True	1414017347.95
605	True	1414017348.01
606	True	1414017348.07
607	True	1414017348.13
608	True	1414017348.19
609	True	1414017348.25
610	True	1414017348.32
611	True	1414017348.38
612	True	1414017348.44
613	True	1414017348.49
614	True	1414017348.56
615	True	1414017348.62
616	True	1414017348.68
617	True	1414017348.74
618	True	1414017348.8
619	True	1414017348.86
620	True	1414017348.92
621	True	1414017348.98
622	True	1414017349.05
623	True	1414017349.11
624	True	1414017349.17
625	True	1414017349.23
626	True	1414017349.29
627	True	1414017349.36
628	True	1414017349.42
629	True	1414017349.48
630	True	1414017349.54
631	True	1414017349.61
632	True	1414017349.67
633	True	1414017349.73
634	True	1414017349.79
635	True	1414017349.85
636	True	1414017349.92
637	True	1414017349.98
638	True	1414017350.04
639	True	1414017350.1
640	True	1414017350.16
641	True	1414017350.23
642	True	1414017350.29
643	True	1414017350.35
644	True	1414017350.41
645	True	1414017350.47
646	True	1414017350.53
647	True	1414017350.6
648	True	1414017350.66
649	True	1414017350.72
650	True	1414017350.78
651	True	1414017350.84
652	True	1414017350.9
653	True	1414017350.96
654	True	1414017351.02
655	True	1414017351.09
656	True	1414017351.14
657	True	1414017351.2
658	True	1414017351.27
659	True	1414017351.33
660	True	1414017351.39
661	True	1414017351.45
662	True	1414017351.51
663	True	1414017351.57
664	True	1414017351.63
665	True	1414017351.69
666	True	1414017351.75
667	True	1414017351.81
668	True	1414017351.87
669	True	1414017351.93
670	True	1414017351.99
671	True	1414017352.05
672	True	1414017352.12
673	True	1414017352.18
674	True	1414017352.24
675	True	1414017352.3
676	True	1414017352.36
677	True	1414017352.42
678	True	1414017352.48
679	True	1414017352.54
680	True	1414017352.6
681	True	1414017352.66
682	True	1414017352.72
683	True	1414017352.78
684	True	1414017352.84
685	True	1414017352.9
686	True	1414017352.97
687	True	1414017353.03
688	True	1414017353.09
689	True	1414017353.15
690	True	1414017353.21
691	True	1414017353.27
692	True	1414017353.33
693	True	1414017353.39
694	True	1414017353.45
695	True	1414017353.51
696	True	1414017353.57
697	True	1414017353.64
698	True	1414017353.7
699	True	1414017353.76
700	True	1414017353.83
701	True	1414017353.89
702	True	1414017353.95
703	True	1414017354.01
704	True	1414017354.07
705	True	1414017354.13
706	True	1414017354.19
707	True	1414017354.25
708	True	1414017354.31
709	True	1414017354.37
710	True	1414017354.43
711	True	1414017354.5
712	True	1414017354.56
713	True	1414017354.62
714	True	1414017354.68
715	True	1414017354.74
716	True	1414017354.8
717	True	1414017354.86
718	True	1414017354.92
719	True	1414017354.98
720	True	1414017355.04
721	True	1414017355.11
722	True	1414017355.17
723	True	1414017355.23
724	True	1414017355.29
725	True	1414017355.36
726	True	1414017355.42
727	True	1414017355.48
728	True	1414017355.54
729	True	1414017355.6
730	True	1414017355.67
731	True	1414017355.73
732	True	1414017355.79
733	True	1414017355.85
734	True	1414017355.92
735	True	1414017355.98
736	True	1414017356.04
737	True	1414017356.1
738	True	1414017356.17
739	True	1414017356.23
740	True	1414017356.29
741	True	1414017356.35
742	True	1414017356.42
743	True	1414017356.48
744	True	1414017356.54
745	True	1414017356.6
746	True	1414017356.67
747	True	1414017356.73
748	True	1414017356.8
749	True	1414017356.86
750	True	1414017356.92
751	True	1414017357.34
752	True	1414017357.76
753	True	1414017358.17
754	True	1414017358.58
755	True	1414017359.0
756	True	1414017359.41
757	True	1414017359.82
758	True	1414017360.23
759	True	1414017360.64
760	True	1414017361.05
761	True	1414017361.46
762	True	1414017361.89
763	True	1414017362.35
764	True	1414017362.81
765	True	1414017363.26
766	True	1414017363.71
767	True	1414017364.17
768	True	1414017364.62
769	True	1414017365.08
770	True	1414017365.54
771	True	1414017366.0
772	True	1414017366.46
773	True	1414017366.91
774	True	1414017367.37
775	True	1414017367.83
776	True	1414017368.28
777	True	1414017368.74
778	True	1414017369.2
779	True	1414017369.65
780	True	1414017370.11
781	True	1414017370.56
782	True	1414017371.02
783	True	1414017371.48
784	True	1414017371.93
785	True	1414017372.39
786	True	1414017372.85
787	True	1414017373.3
788	True	1414017373.75
789	True	1414017374.2
790	True	1414017374.7
791	True	1414017375.15
792	True	1414017375.6
793	True	1414017376.06
794	True	1414017376.51
795	True	1414017376.96
796	True	1414017377.41
797	True	1414017377.86
798	True	1414017378.32
799	True	1414017378.77
800	True	1414017379.22
801	True	1414017379.67
802	True	1414017380.12
803	True	1414017380.57
804	True	1414017381.03
805	True	1414017381.48
806	True	1414017381.94
807	True	1414017382.39
808	True	1414017382.84
809	True	1414017383.3
810	True	1414017383.75
811	True	1414017384.21
812	True	1414017384.66
813	True	1414017385.12
814	True	1414017385.57
815	True	1414017386.02
816	True	1414017386.48
817	True	1414017386.93
818	True	1414017387.38
819	True	1414017387.84
820	True	1414017388.29
821	True	1414017388.76
822	True	1414017389.21
823	True	1414017389.66
824	True	1414017390.12
825	True	1414017390.57
826	True	1414017391.02
827	True	1414017391.48
828	True	1414017391.94
829	True	1414017392.39
830	True	1414017392.85
831	True	1414017393.31
832	True	1414017393.76
833	True	1414017394.21
834	True	1414017394.66
835	True	1414017395.11
836	True	1414017395.57
837	True	1414017396.02
838	True	1414017396.47
839	True	1414017396.92
840	True	1414017397.38
841	True	1414017397.83
842	True	1414017398.28
843	True	1414017398.74
844	True	1414017399.19
845	True	1414017399.64
846	True	1414017400.1
847	True	1414017400.55
848	True	1414017401.0
849	True	1414017401.46
850	True	1414017401.91
851	True	1414017402.36
852	True	1414017402.81
853	True	1414017403.26
854	True	1414017403.72
855	True	1414017404.18
856	True	1414017404.63
857	True	1414017405.1
858	True	1414017405.55
859	True	1414017406.01
860	True	1414017406.47
861	True	1414017406.92
862	True	1414017407.38
863	True	1414017407.84
864	True	1414017408.29
865	True	1414017408.75
866	True	1414017409.2
867	True	1414017409.66
868	True	1414017410.11
869	True	1414017410.58
870	True	1414017411.03
871	True	1414017411.49
872	True	1414017411.95
873	True	1414017412.4
874	True	1414017412.86
875	True	1414017413.32
876	True	1414017413.78
877	True	1414017414.23
878	True	1414017414.69
879	True	1414017415.15
880	True	1414017415.6
881	True	1414017416.06
882	True	1414017416.52
883	True	1414017416.97
884	True	1414017417.43
885	True	1414017417.88
886	True	1414017418.34
887	True	1414017418.8
888	True	1414017419.25
889	True	1414017419.71
890	True	1414017420.17
891	True	1414017420.62
892	True	1414017421.08
893	True	1414017421.53
894	True	1414017421.99
895	True	1414017422.45
896	True	1414017422.91
897	True	1414017423.36
898	True	1414017423.82
899	True	1414017424.28
900	True	1414017424.73
901	True	1414017425.19
902	True	1414017425.64
903	True	1414017426.1
904	True	1414017426.56
905	True	1414017427.02
906	True	1414017427.47
907	True	1414017427.93
908	True	1414017428.39
909	True	1414017428.84
910	True	1414017429.3
911	True	1414017429.75
912	True	1414017430.21
913	True	1414017430.67
914	True	1414017431.13
915	True	1414017431.58
916	True	1414017432.04
917	True	1414017432.49
918	True	1414017432.95
919	True	1414017433.41
920	True	1414017433.86
921	True	1414017434.31
922	True	1414017434.77
923	True	1414017435.23
924	True	1414017435.68
925	True	1414017436.13
926	True	1414017436.59
927	True	1414017437.04
928	True	1414017437.5
929	True	1414017437.95
930	True	1414017438.4
931	True	1414017438.86
932	True	1414017439.31
933	True	1414017439.76
934	True	1414017440.22
935	True	1414017440.67
936	True	1414017441.12
937	True	1414017441.58
938	True	1414017442.03
939	True	1414017442.49
940	True	1414017442.94
941	True	1414017443.39
942	True	1414017443.85
943	True	1414017444.3
944	True	1414017444.75
945	True	1414017445.21
946	True	1414017445.66
947	True	1414017446.12
948	True	1414017446.57
949	True	1414017447.02
950	True	1414017447.47
951	True	1414017447.93
952	True	1414017448.38
953	True	1414017448.84
954	True	1414017449.29
955	True	1414017449.74
956	True	1414017450.2
957	True	1414017450.65
958	True	1414017451.1
959	True	1414017451.56
960	True	1414017452.01
961	True	1414017452.47
962	True	1414017452.92
963	True	1414017453.38
964	True	1414017453.84
965	True	1414017454.29
966	True	1414017454.74
967	True	1414017455.19
968	True	1414017455.65
969	True	1414017456.1
970	True	1414017456.55
971	True	1414017457.0
972	True	1414017457.46
973	True	1414017457.92
974	True	1414017458.37
975	True	1414017458.82
976	True	1414017459.28
977	True	1414017459.73
978	True	1414017460.19
979	True	1414017460.64
980	True	1414017461.09
981	True	1414017461.54
982	True	1414017462.0
983	True	1414017462.45
984	True	1414017462.91
985	True	1414017463.37
986	True	1414017463.82
987	True	1414017464.27
988	True	1414017464.73
989	True	1414017465.2
990	True	1414017465.65
991	True	1414017466.1
992	True	1414017466.55
993	True	1414017467.01
994	True	1414017467.46
995	True	1414017467.91
996	True	1414017468.36
997	True	1414017468.82
998	True	1414017469.27
999	True	1414017469.72
1000	True	1414017470.17
1001	True	1414017470.63
1002	True	1414017471.08
1003	True	1414017471.54
1004	True	1414017471.99
1005	True	1414017472.45
1006	True	1414017472.9
1007	True	1414017473.35
1008	True	1414017473.8
1009	True	1414017474.26
1010	True	1414017474.71
1011	True	1414017475.17
1012	True	1414017475.62
1013	True	1414017476.08
1014	True	1414017476.53
1015	True	1414017476.99
1016	True	1414017477.44
1017	True	1414017477.89
1018	True	1414017478.35
1019	True	1414017478.8
1020	True	1414017479.26
1021	True	1414017479.71
1022	True	1414017480.17
1023	True	1414017480.62
1024	True	1414017481.08
1025	True	1414017481.53
1026	True	1414017481.99
1027	True	1414017482.44
1028	True	1414017482.89
1029	True	1414017483.35
1030	True	1414017483.8
1031	True	1414017484.26
1032	True	1414017484.71
1033	True	1414017485.16
1034	True	1414017485.62
1035	True	1414017486.06
1036	True	1414017486.52
1037	True	1414017486.97
1038	True	1414017487.43
1039	True	1414017487.88
1040	True	1414017488.34
1041	True	1414017488.79
1042	True	1414017489.25
1043	True	1414017489.7
1044	True	1414017490.15
1045	True	1414017490.6
1046	True	1414017491.06
1047	True	1414017491.51
1048	True	1414017491.97
1049	True	1414017492.43
1050	True	1414017492.88
1051	True	1414017493.34
1052	True	1414017493.8
1053	True	1414017494.26
1054	True	1414017494.72
1055	True	1414017495.18
1056	True	1414017495.64
1057	True	1414017496.1
1058	True	1414017496.57
1059	True	1414017497.03
1060	True	1414017497.5
1061	True	1414017497.95
1062	True	1414017498.41
1063	True	1414017498.87
1064	True	1414017499.33
1065	True	1414017499.79
1066	True	1414017500.25
1067	True	1414017500.71
1068	True	1414017501.17
1069	True	1414017501.63
1070	True	1414017502.08
1071	True	1414017502.55
1072	True	1414017503.0
1073	True	1414017503.46
1074	True	1414017503.92
1075	True	1414017504.38
1076	True	1414017504.83
1077	True	1414017505.29
1078	True	1414017505.75
1079	True	1414017506.2
1080	True	1414017506.66
1081	True	1414017507.12
1082	True	1414017507.58
1083	True	1414017508.04
1084	True	1414017508.5
1085	True	1414017508.96
1086	True	1414017509.42
1087	True	1414017509.87
1088	True	1414017510.33
1089	True	1414017510.79
1090	True	1414017511.25
