FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
21	426	640	229	159	192	192	270.672	210.087	290.568	206.811	308.818	211.246	344.965	211.964	363.289	210.086	383.127	212.32	327.002	258.543	-2.95767	17.1165	2.43314	-0.773877	-1.00996	-0.831959	-2.06888	-1.33339	-0.767937	-1.60246	0.274735	0.141488	-0.774784	-0.753895	-0.625541	-1.25225	-0.824707	-1.41535	-0.974747	-1.02528	-0.781526	-0.802597	0.185814	-0.620438	-0.0637484	-0.0411227	0.405087	-0.940335	-0.918202	0.507212	0.460624	-0.547405	-0.251495	-0.899062
22	426	640	230	159	193	193	271.547	210.493	291.867	207.768	309.809	211.641	346.064	212.346	364.84	210.466	384.341	212.688	327.615	258.772	-2.7098	16.6537	1.80155	-0.754936	-1.1086	-0.908322	-1.90273	-1.33995	-0.849445	-1.75426	0.149022	0.148011	-0.672575	-0.740131	-0.467069	-1.24602	-0.822751	-1.4371	-0.916707	-0.975094	-0.717603	-0.900834	0.143211	-0.922041	-0.130017	-0.0250818	0.361017	-1.04127	-0.923037	0.588683	0.516656	-0.527451	-0.215834	-0.902848
23	426	640	228	158	193	193	270.245	209.236	288.795	207.006	308.461	210.713	344.675	211.731	363.658	209.458	382.913	212.404	325.665	258.621	-2.74872	16.4396	1.9873	-0.642898	-1.0645	-0.824372	-2.02093	-1.49004	-0.688181	-1.69759	0.175914	0.342109	-0.744719	-0.854053	-0.404213	-1.25275	-0.83028	-1.45521	-0.834385	-1.04305	-0.953036	-0.892861	0.35244	-0.338575	-0.0458128	0.193269	0.37333	-1.0748	-0.825344	0.512338	0.376594	-0.676545	-0.386175	-1.13205
24	426	640	229	159	191	191	270.608	210.089	289.887	207.017	308.434	211.336	344.277	212.141	363.461	210.476	382.121	212.593	325.724	257.805	-2.4279	15.1469	0.621807	-0.629313	-1.17473	-0.772215	-1.91441	-1.24892	-0.831021	-1.58365	0.469322	0.0504041	-0.698347	-0.847543	-0.383151	-1.25271	-0.830896	-1.53825	-0.697299	-1.05174	-1.03546	-1.56476	0.186299	-0.584803	-0.0055875	0.08564	0.187062	-1.01269	-0.785868	0.546335	0.570126	-0.60914	-0.319187	-1.52685
25	426	640	230	159	193	193	271.969	210.294	292.089	207.739	310.21	211.922	346.45	213.083	365.004	211.515	384.716	213.905	327.404	259.595	-2.41646	16.1658	1.5437	-0.677712	-1.09424	-0.847537	-1.94571	-1.26276	-0.978217	-1.54282	-0.109152	0.359137	-0.753729	-1.07173	-0.503536	-1.25259	-0.830763	-1.51038	-0.783226	-1.0491	-0.877638	-0.900017	0.24765	-0.308333	0.0338904	0.322688	0.450996	-1.00821	-0.916102	0.542781	0.380018	-0.633163	-0.34854	-1.04202
26	426	640	231	159	193	193	272.763	210.369	292.544	207.38	311.064	211.381	347.355	211.958	366.46	209.977	385.669	212.163	329.415	258.429	-2.72392	16.2075	1.61795	-0.587486	-1.19003	-0.837966	-2.05976	-1.36191	-0.788564	-1.60561	0.187753	0.313419	-0.787259	-0.935951	-0.604158	-1.2521	-0.828671	-1.48509	-0.728255	-1.0064	-0.828684	-0.86247	0.0768158	-1.05158	-0.198907	-0.0306672	0.196681	-0.988396	-0.761982	0.44331	0.432328	-0.511863	-0.296834	-1.04048
27	426	640	231	159	193	193	272.601	210.203	292.799	207.704	310.934	211.598	347.259	212.538	365.806	210.873	385.613	213.127	328.503	258.502	-2.23937	15.7223	1.65007	-0.758004	-1.12675	-0.96885	-2.21349	-1.33727	-0.852614	-1.59248	0.0560212	0.202322	-0.852506	-0.957003	-0.723684	-1.25188	-0.827289	-1.44073	-0.71744	-1.01373	-0.871204	-0.937184	0.170261	-0.509862	0.0162361	0.315531	0.309856	-1.11209	-0.778827	0.562085	0.538704	-0.605878	-0.261993	-1.07892
28	426	640	230	159	192	192	271.131	210.613	290.198	208.398	309.241	211.562	345.351	212.08	363.304	210.413	383.473	212.226	327.102	258.342	-2.08787	15.8609	2.22732	-0.718084	-1.11599	-0.935784	-2.04928	-1.18504	-1.00624	-1.52617	0.0664193	0.132932	-0.792727	-1.11048	-0.627711	-1.25266	-0.830659	-1.45259	-0.777713	-1.06265	-0.972888	-1.02985	0.195671	-0.388528	-0.0905615	0.125604	0.323785	-0.916847	-0.684265	0.482693	0.43267	-0.587393	-0.356916	-1.23241
29	426	640	229	159	190	190	269.863	209.746	288.428	207.2	307.572	210.701	343.302	211.23	361.622	208.804	381.023	211.391	325.774	255.949	-2.08447	15.579	1.37226	-0.465766	-1.2523	-0.661218	-2.30352	-1.06531	-0.756623	-1.47865	0.440182	0.580996	-1.01205	-0.821029	-0.416667	-1.25076	-0.830388	-1.52788	-0.618163	-1.00944	-0.972796	-1.76368	0.210508	-0.609141	-0.0592866	0.26087	0.0977394	-0.709554	-0.738882	0.616507	0.592357	-0.638715	-0.287178	-1.64548
30	426	640	229	158	190	190	269.151	209.462	289.01	206.081	306.795	210.23	342.461	210.582	362.162	207.683	380.112	210.558	324.805	256.069	-1.49459	15.469	0.552405	-0.547078	-1.32146	-0.799492	-2.10823	-1.07898	-0.925987	-1.49117	0.693293	-0.0614825	-0.829595	-0.718582	-0.825456	-1.23746	-0.825252	-1.53658	-0.444301	-1.00675	-0.823437	-1.68487	0.221396	-0.785346	-0.104906	0.289284	-0.149393	-0.468819	-0.682353	0.532776	0.544582	-0.64828	-0.340596	-1.73937
