FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
21	426	640	240	156	177	177	279.784	202.143	296.304	200.516	314.954	204.182	348.289	205.763	365.803	207.44	383.493	207.062	331.283	245.772	-6.01876	10.2812	3.54358	-2.00412	-1.09527	-0.228601	-1.39103	-1.55744	0.0903332	-1.68093	1.13098	-0.830537	-0.032068	-1.35441	-0.387413	-0.740806	-0.712803	-1.23127	-0.956092	-0.60885	0.673481	-1.15304	-0.392351	-1.42335	-0.274402	-0.401481	-0.304256	-0.211735	-0.663905	0.413303	0.233887	-0.457358	-0.17702	-1.03648
22	426	640	242	157	175	175	281.14	202.206	296.546	201.542	315.801	204.544	348.658	206.413	366.046	208.934	383.36	208.021	331.05	245.339	-6.09643	9.95439	3.31757	-2.31822	-1.08444	-0.370889	-1.5591	-1.47573	0.273374	-1.7918	1.21176	-0.986091	-0.082998	-0.901554	-0.708489	-0.373689	-0.599503	-1.20235	-0.871235	-0.671789	0.55903	-1.47723	-0.473362	-0.879318	-0.213273	-0.285127	-0.279572	-0.174006	-0.764369	0.466385	0.205204	-0.634673	-0.301253	-1.09186
23	426	640	240	157	177	177	280.541	202.018	296.308	202.792	315.477	204.773	348.598	207.035	366.445	208.811	383.584	209.054	330.766	246.101	-5.80213	9.94384	2.53039	-2.31525	-1.01963	-0.0650765	-1.57728	-1.42423	0.358	-1.78931	1.00266	-0.446354	-0.215831	-1.02216	-0.471893	-0.255899	-0.559872	-0.977051	-0.756866	-0.797596	0.286032	-1.29462	-0.58533	-0.782121	-0.115453	-0.211727	-0.356362	-0.176733	-0.783761	0.434	0.30167	-0.606292	-0.255704	-1.15308
24	426	640	239	156	179	179	279.602	202.026	296.283	200.909	315.162	204.191	348.869	205.886	367.552	207.359	384.467	207.302	331.137	246.286	-5.70397	10.7792	2.95013	-2.02533	-1.06083	-0.159812	-1.33718	-1.65173	0.277767	-1.84115	0.936933	-0.499381	-0.0145576	-1.24034	-0.168124	-0.782785	-0.749779	-1.19538	-0.798901	-0.552835	0.731555	-0.802779	-0.493879	-1.10376	-0.297619	-0.325795	-0.0780041	-0.305189	-0.758253	0.411362	0.288052	-0.372711	-0.164929	-1.24777
25	426	640	239	156	179	179	279.388	201.755	295.588	200.125	314.869	204.227	348.503	206.216	367.233	207.145	384.028	207.941	331.447	245.711	-5.72014	11.6021	4.06321	-1.80605	-1.11579	-0.273551	-1.43267	-1.46532	0.303966	-1.99141	1.03322	-0.296418	-0.152205	-1.01173	-0.346519	-0.817089	-0.743431	-1.1563	-0.780314	-0.634224	0.641988	-1.32733	-0.48584	-1.35033	-0.373692	-0.413568	-0.4323	-0.279658	-0.590706	0.427006	0.189056	-0.345985	-0.0682541	-1.13827
26	426	640	238	155	181	181	278.755	201.812	296.529	200.663	314.521	203.919	348.421	205.559	366.244	204.732	384.223	206.913	331.136	246.738	-5.6915	12.1851	3.23033	-1.79457	-1.04696	-0.272366	-1.39904	-1.28811	-0.0348969	-1.8553	0.985602	-0.426232	-0.184199	-1.18027	-0.52764	-0.975791	-0.812399	-1.0224	-0.699695	-0.87795	0.0551822	-1.31515	-0.389041	-1.21745	-0.307722	-0.521502	-0.276422	-0.414434	-0.605241	0.234174	0.243061	-0.311482	-0.154323	-1.07448
27	426	640	239	154	180	180	278.951	201.384	295.967	199.856	314.681	203.405	348.547	204.963	366.386	203.518	384.313	206.231	331.162	245.318	-4.9094	12.5707	3.1516	-1.62884	-1.02077	-0.311676	-1.50381	-1.26973	-0.263907	-1.74901	1.07738	-0.53948	-0.280149	-1.41554	-0.940825	-1.07498	-0.823623	-1.25858	-0.570777	-0.839417	-0.157887	-1.54556	-0.391621	-0.897191	-0.309329	-0.355724	-0.470663	-0.490869	-0.462789	0.159839	0.30409	-0.266817	-0.130141	-1.10519
28	426	640	238	153	182	182	278.983	200.261	295.603	198.993	315.022	202.677	349.185	204.606	366.353	204.682	385.267	206.263	331.806	244.581	-5.03078	13.0278	2.85462	-1.34593	-0.934156	-0.342225	-1.61546	-1.25923	-0.334222	-1.71938	1.03328	-0.310896	-0.421855	-1.32173	-0.82808	-1.14074	-0.830876	-1.40166	-0.626728	-0.909415	-0.298794	-1.57147	-0.138014	-1.05842	-0.337488	-0.45529	-0.377009	-0.558853	-0.562299	0.153399	0.280905	-0.239182	-0.00549867	-1.20619
29	426	640	237	153	183	183	278.284	200.745	295.154	199.442	314.523	202.985	348.873	204.746	365.973	203.845	385.151	206.223	331.124	246.494	-5.08214	13.4162	4.51867	-1.43084	-0.985111	-0.374383	-1.56026	-0.923917	-0.546818	-1.41717	0.646288	-0.251552	-0.450956	-1.69255	-0.95852	-1.1697	-0.829497	-1.34415	-0.627496	-0.993557	-0.595258	-1.19622	-0.237994	-0.936954	-0.335322	-0.446933	-0.09341	-0.594205	-0.64788	0.0202032	0.352926	-0.280072	-0.135396	-1.21984
30	426	640	236	153	184	184	277.836	200.032	295.613	198.047	314.353	202.612	348.969	204.691	366.876	204.211	385.532	206.501	331.287	246.562	-4.81996	13.611	4.74281	-1.13421	-1.10996	-0.217242	-1.82422	-1.0321	-0.554189	-1.37061	0.699646	0.120812	-0.676724	-1.22958	-1.15734	-1.19057	-0.830844	-1.24285	-0.55198	-1.01307	-0.502122	-1.17119	-0.111097	-1.12176	-0.41553	-0.416095	0.000228047	-0.634162	-0.671102	0.0897864	0.403798	-0.350971	-0.117167	-1.14429
