FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
21	426	640	238	152	182	182	281.973	196.023	298.973	195.44	317.894	200.518	351.966	204.417	370.758	205.166	387.974	208.154	331.395	244.467	-7.248	11.9712	0.789511	-0.922339	-1.22308	-0.516382	-1.56886	-0.868902	-0.764744	-1.38085	0.345762	0.12205	-0.542379	-1.27152	-0.904169	-1.13835	-0.817976	-1.32659	0.0231516	-0.932367	-0.773274	-2.0399	-0.279713	-0.963632	-0.193876	-0.314619	-0.405856	-0.418424	-0.583307	0.0825369	0.422038	-0.398178	-0.222321	-1.07258
22	426	640	237	151	184	184	281.516	195.265	299.299	195.594	317.766	199.922	352.151	203.972	369.856	205.447	388.491	207.864	331.174	244.641	-7.60198	11.4262	0.259771	-0.831228	-1.26734	-0.524004	-1.77305	-0.951042	-0.732906	-1.50959	0.456528	0.243927	-0.674099	-1.38308	-0.745058	-1.18848	-0.83085	-1.22405	-0.30294	-0.934836	-0.746482	-2.01724	-0.199151	-1.09412	-0.400124	-0.159564	-0.0846052	-0.468998	-0.607899	0.222835	0.506661	-0.432758	-0.195911	-1.34186
23	426	640	239	152	182	182	282.298	195.447	299.492	195.912	318.025	200.086	351.915	204.124	370.284	205.617	387.733	208.01	331.315	243.932	-8.09928	12.0061	0.441221	-0.976986	-1.28667	-0.521092	-1.76033	-0.793715	-0.687508	-1.58588	0.692529	0.0672163	-0.657687	-1.17196	-1.31355	-1.10236	-0.805776	-1.3293	0.0252914	-0.902542	-0.727275	-2.09105	-0.333438	-0.867055	-0.247831	-0.213365	-0.514032	-0.261637	-0.61438	0.0793888	0.441284	-0.413847	-0.278766	-1.04804
24	426	640	238	152	183	183	281.813	195.905	299.232	195.872	317.78	200.288	351.893	204.081	369.6	205.488	387.944	207.705	331.224	244.113	-7.40703	11.2417	0.451782	-0.872567	-1.22852	-0.573675	-1.57351	-0.885616	-0.662318	-1.43413	0.390188	0.144699	-0.533872	-1.18469	-1.00396	-1.12943	-0.815796	-1.29131	-0.0996286	-0.917835	-0.793273	-2.10663	-0.30314	-1.12758	-0.296118	-0.246787	-0.351724	-0.324929	-0.632239	0.0668726	0.45049	-0.427627	-0.212679	-1.14405
25	426	640	238	152	182	182	282.297	195.522	299.275	195.625	318.208	200.196	352.271	204.266	370.41	205.088	388.272	208.183	331.665	244.306	-7.93233	11.6853	0.120771	-0.863589	-1.19568	-0.595932	-1.70142	-0.855514	-0.75748	-1.46955	0.428041	0.148012	-0.630948	-1.56957	-0.893725	-1.09319	-0.808415	-1.31577	0.008027	-0.901133	-0.722467	-2.13805	-0.336402	-1.0113	-0.286288	-0.300952	-0.44762	-0.313165	-0.645605	0.118269	0.402257	-0.425595	-0.179077	-1.18226
26	426	640	239	152	181	181	282.378	195.666	299.53	195.748	318.047	200.333	351.881	204.399	371.323	205.126	387.64	208.314	331.476	243.32	-7.33921	11.5897	0.4189	-1.00176	-1.18404	-0.45569	-1.64358	-0.75146	-0.814117	-1.46987	0.675208	-0.0334483	-0.601717	-1.29715	-1.26454	-1.10183	-0.782097	-1.36551	0.170274	-0.873219	-0.70736	-2.38507	-0.322318	-1.20166	-0.231692	-0.307445	-0.615976	-0.28448	-0.554136	0.0546291	0.334743	-0.39289	-0.310128	-0.755835
27	426	640	239	152	181	181	282.704	195.636	299.672	196.259	318.353	200.19	352.168	204.149	371.023	205.369	387.905	207.951	331.877	243.435	-8.0656	12.3117	1.62928	-0.995117	-1.28469	-0.564832	-1.6365	-0.765228	-0.845479	-1.49665	0.824464	-0.29117	-0.550562	-1.12731	-1.39717	-1.06304	-0.775665	-1.38198	0.230501	-0.891014	-0.691108	-2.22171	-0.3707	-1.13863	-0.197457	-0.357272	-0.636402	-0.430171	-0.499211	0.0925942	0.407944	-0.374286	-0.267148	-0.829954
28	426	640	238	152	183	183	282.125	195.767	299.322	196.182	318.096	200.291	352.215	204.218	370.973	205.01	388.274	207.983	331.47	244.351	-7.79451	11.6015	0.367472	-0.85559	-1.23098	-0.489117	-1.74085	-0.823417	-0.642616	-1.42319	0.305118	0.446992	-0.690148	-1.1951	-0.95708	-1.11663	-0.814577	-1.26459	-0.0445124	-0.910703	-0.774732	-2.03959	-0.284456	-1.08381	-0.278117	-0.241469	-0.387305	-0.356835	-0.583451	0.153669	0.491391	-0.410087	-0.254607	-1.12577
29	426	640	239	152	182	182	282.422	195.521	299.344	195.791	318.17	200.214	352.081	204.304	371.013	205.081	387.92	208.244	331.684	243.525	-7.25818	11.4378	0.372922	-0.99936	-1.26536	-0.548138	-1.66461	-0.793261	-0.781219	-1.49693	0.698464	-0.134802	-0.57856	-1.26037	-1.26436	-1.09679	-0.801162	-1.39539	0.185417	-0.914194	-0.73731	-2.2913	-0.307559	-1.22419	-0.220099	-0.217473	-0.610247	-0.316338	-0.575821	0.126934	0.3892	-0.429474	-0.285998	-0.972248
30	426	640	238	152	182	182	282.147	195.9	299.55	195.909	318.066	200.547	352.137	204.59	370.964	205.149	388.145	208.48	331.109	244.189	-7.69401	11.4923	0.444275	-1.07071	-1.17594	-0.569149	-1.56792	-0.737304	-0.879629	-1.30152	0.303441	-0.0566278	-0.537937	-1.48616	-0.951982	-1.08896	-0.797673	-1.29093	0.0379749	-0.923648	-0.76615	-2.21966	-0.268226	-1.02631	-0.187438	-0.240325	-0.360863	-0.285587	-0.680857	0.210726	0.454156	-0.446334	-0.273805	-1.0809
