FrameNumber	FrameRows	FrameCols	FaceBoxX	FaceBoxY	FaceBoxW	FaceBoxH	left_eye_lateral_x	left_eye_lateral_y	left_eye_pupil_x	left_eye_pupil_y	left_eye_medial_x	left_eye_medial_y	right_eye_medial_x	right_eye_medial_y	right_eye_pupil_x	right_eye_pupil_y	right_eye_lateral_x	right_eye_lateral_y	nose_tip_x	nose_tip_y	Roll	Pitch	Yaw	anger	contempt	disgust	joy	fear	sadness	surprise	neutral	negative	positive	confusion	frustration	AU1	AU2	AU4	AU5	AU6	AU7	AU9	AU10	AU12	AU14	AU15	AU17	AU18	AU20	AU23	AU24	AU25	AU26	AU28	
22	426	640	243	144	181	181	283.933	190.101	300.549	188.618	319.709	192.969	353.627	195.33	371.388	195.534	389.455	197.444	335.225	233.755	-5.98706	14.2918	1.54382	-1.7844	-0.740626	-0.847841	-1.18926	-1.1172	-0.418364	-1.44809	0.684747	-1.13257	0.0552312	-2.47439	-0.846364	-0.978457	-0.773194	-1.20713	-0.286424	-0.679845	0.145851	-1.91396	-0.483247	-1.32797	-0.45639	-0.140806	-0.782456	-0.756313	-0.293786	-0.10497	0.0685354	-0.215538	-0.0716792	-0.982003
23	426	640	241	143	181	181	282.227	188.989	297.595	187.784	317.929	192.028	351.779	194.552	370.521	194.958	387.537	196.839	333.466	232.761	-5.90415	13.0537	2.30694	-2.01351	-0.935869	-0.812251	-1.05237	-1.2019	-0.381733	-1.38352	0.744954	-1.42197	0.267319	-2.63778	-1.05159	-0.812147	-0.719428	-1.15894	-0.247637	-0.576543	0.0770642	-2.01414	-0.566258	-1.0623	-0.439817	-0.192632	-0.793467	-0.612362	-0.350497	-0.0927814	0.22303	-0.358865	-0.155795	-1.29628
24	426	640	239	145	182	182	280.586	190.834	296.695	190.438	316.559	194.015	350.666	196.669	368.965	197.163	386.698	199.091	331.527	235.5	-4.89996	13.313	0.635573	-1.72153	-0.978862	-0.345874	-1.33728	-1.1655	-0.319721	-1.35709	1.01095	-0.867563	-0.121868	-2.0445	-0.922543	-0.721374	-0.66527	-1.17997	-0.210009	-0.683951	-0.191625	-2.03479	-0.462753	-0.938683	-0.410206	-0.354459	-0.815465	-0.451389	-0.443826	0.0743303	-0.0313443	-0.37332	-0.233391	-1.24398
25	426	640	238	147	184	184	280.62	193.516	298.401	192.38	317.007	196.648	351.506	199.252	370.299	198.631	387.951	201.618	332.097	239.387	-5.8897	13.7677	2.32287	-1.24647	-1.00713	-0.392187	-1.43103	-1.20361	-0.404792	-1.46774	0.801668	-0.35321	-0.300277	-1.902	-0.731357	-0.882124	-0.756288	-1.20084	-0.303599	-0.862558	-0.441394	-1.94983	-0.341891	-0.984484	-0.36677	-0.390925	-0.586711	-0.64711	-0.475152	0.0788001	0.345748	-0.38406	-0.275846	-1.31619
26	426	640	239	149	185	185	281.459	194.789	298.711	194.456	317.943	198.331	352.539	201.323	370.601	201.204	389.09	204.096	332.9	241.333	-5.75324	12.9972	1.90526	-1.1261	-1.07726	-0.425653	-1.45934	-1.16051	-0.638974	-1.60328	0.625218	-0.15405	-0.382417	-1.42977	-0.653131	-1.09547	-0.80979	-1.22933	-0.267729	-0.850014	-0.519837	-1.90871	-0.295419	-1.02592	-0.238046	-0.443596	-0.497973	-0.566544	-0.566522	0.13941	0.465835	-0.364022	-0.217873	-1.30955
27	426	640	244	152	178	178	284.706	197.089	301.436	195.393	319.888	200.163	353.245	202.724	371.408	202.801	388.484	205.057	335.375	242.837	-6.41433	12.2619	2.28576	-1.58685	-1.05603	-0.581588	-1.38638	-1.28368	-0.159994	-1.75463	0.955281	-0.682125	-0.132607	-1.16648	-1.4618	-1.05663	-0.822803	-1.30362	-0.716425	-0.61211	0.0561558	-1.64343	-0.537221	-0.801236	-0.17563	-0.414889	-0.73381	-0.230462	-0.761263	0.151974	0.211964	-0.30065	-0.209103	-0.885021
28	426	640	244	152	180	180	286.742	196.364	303.31	196.792	322.301	200.217	356.024	203.511	372.221	205.76	391.657	206.614	336.09	242.806	-8.24063	9.73494	2.97366	-2.3149	-1.09279	-0.343478	-1.03886	-1.66278	0.170977	-1.95467	0.474883	-0.640443	0.276647	-1.696	-0.445983	-0.911067	-0.808915	-1.29392	-0.892569	-0.506794	0.553247	-1.01511	-0.62206	-0.787228	-0.304004	-0.269451	-0.391082	-0.125467	-0.798195	0.372993	0.358813	-0.470987	-0.111704	-1.15266
29	426	640	246	152	179	179	288.029	195.537	304.786	193.711	323.421	199.54	356.987	202.979	375.027	204.05	392.455	206.236	338.563	242.101	-8.18377	12.1279	4.71093	-1.99931	-0.950912	-0.465503	-1.15821	-1.62109	-0.319243	-2.08112	0.721457	-0.801426	0.110333	-1.75294	-1.02527	-1.1637	-0.824408	-1.46372	-1.12374	-0.557742	0.363024	-1.67972	-0.461072	-0.752727	-0.370376	-0.446863	-0.406934	-0.92809	-0.742952	0.389326	0.261202	-0.397496	0.0649746	-1.38719
30	426	640	245	151	180	180	288.41	194.345	304.167	193.349	323.843	198.709	357.451	202.489	375.852	203.945	392.967	206.105	338.016	241.672	-8.21391	12.4072	4.14794	-1.71855	-1.14356	-0.591236	-1.41606	-1.34097	-0.481518	-1.92771	0.8846	-0.803324	-0.145522	-1.64246	-1.36612	-1.20038	-0.822329	-1.64065	-0.80799	-0.779777	-0.115671	-1.92338	-0.290805	-0.530244	-0.313412	-0.668905	-0.55694	-0.778379	-0.683789	0.332131	0.218944	-0.30628	-0.0380068	-1.48771
31	426	640	245	151	181	181	287.979	195.572	304.602	195.009	323.679	199.655	357.537	203.168	375.169	203.857	393.315	206.499	338.369	243.092	-7.62566	12.5264	4.7993	-1.53089	-0.915601	-0.617915	-1.45294	-1.36504	-0.550797	-1.75759	0.825063	-0.752754	-0.208761	-1.51341	-1.35824	-1.20862	-0.821698	-1.65522	-0.72995	-0.828006	-0.321119	-1.84021	-0.229112	-0.882049	-0.345901	-0.602883	-0.446233	-0.970597	-0.785302	0.234746	0.188583	-0.27763	-0.0528851	-1.30728
